Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of Ownership,Industry,Sector,Revenue,Competitors
Marketing Specialist,$122k-$177k,Create and execute marketing strategies to enhance brand awareness.,2.9,Data Wizards,"Los Angeles, CA","Chicago, IL",1001-5000 employees,1977,Private,Cybersecurity,Retail,$5 to $10 million,None
Marketing Specialist,$124k-$153k,Create and execute marketing strategies to enhance brand awareness.,4.7,Plan Pros,"Denver, CO","Denver, CO",51-200 employees,1909,Non-profit Organization,Software Development,"Arts, Entertainment & Recreation",Less than $1 million,None
Web Developer,$148k-$188k,Build and maintain websites to enhance user experience.,4.4,Plan Pros,"San Francisco, CA","Washington, DC",1-50 employees,1944,Non-profit Organization,Digital Media,Insurance,Less than $1 million,None
Human Resources Coordinator,$132k-$193k,"Manage recruitment, training, and employee relations.",1.1,Media Magic,"Seattle, WA","San Francisco, CA",501-1000 employees,1946,Subsidiary or Business Segment,Software Development,Retail,$10 to $25 million,None
Sales Manager,$143k-$216k,Lead sales teams to achieve targets through strategic planning.,4.9,Data Wizards,"Washington, DC","Atlanta, GA",501-1000 employees,1959,Subsidiary or Business Segment,Administrative Services,Government,$5 to $10 million,None
Network Administrator,$81k-$161k,Maintain and troubleshoot company network issues.,2.1,Finance First,"Austin, TX","Seattle, WA",1001-5000 employees,1978,Subsidiary or Business Segment,Networking & Security,Technology,$10 to $25 million,None
Administrative Assistant,$91k-$173k,Provide administrative support to ensure efficient office operations.,3.0,Net Solutions,"Boston, MA","Los Angeles, CA",201-500 employees,2012,Non-profit Organization,Software Development,Biotech & Pharmaceuticals,$25 to $50 million,None
Software Developer,$116k-$174k,Develop and maintain software applications based on client requirements.,1.3,Web Wonders,"Denver, CO","Seattle, WA",1001-5000 employees,1997,Public,Software Development,Media,More than $50 million,None
Web Developer,$112k-$207k,Build and maintain websites to enhance user experience.,4.2,Market Movers,"Boston, MA","Austin, TX",501-1000 employees,1988,Public,Research & Development,Government,$5 to $10 million,None
Financial Analyst,$120k-$217k,Conduct financial analysis and report on budgeting.,2.4,Web Wonders,"Atlanta, GA","Los Angeles, CA",201-500 employees,1989,Subsidiary or Business Segment,Research & Development,Biotech & Pharmaceuticals,$5 to $10 million,None
Graphic Designer,$65k-$242k,Design visual content for digital and print media.,1.8,Market Movers,"Atlanta, GA","Chicago, IL",51-200 employees,1927,Subsidiary or Business Segment,Research & Development,Government,$25 to $50 million,None
Project Manager,$86k-$162k,Oversee project lifecycle from initiation to closure.,4.3,Data Wizards,"Austin, TX","Los Angeles, CA",51-200 employees,1938,Private,Software Development,Non-Profit,$1 to $5 million,None
Data Scientist,$55k-$156k,Analyze large datasets to uncover actionable insights.,3.2,Web Wonders,"Chicago, IL","Seattle, WA",1-50 employees,2011,Private,Management Consulting,Biotech & Pharmaceuticals,$10 to $25 million,None
Financial Analyst,$106k-$193k,Conduct financial analysis and report on budgeting.,1.7,Tech Innovate,"Boston, MA","Seattle, WA",1-50 employees,2005,Private,Digital Media,Media,Less than $1 million,None
Project Manager,$130k-$237k,Oversee project lifecycle from initiation to closure.,1.2,Global Sales Group,"Washington, DC","Boston, MA",1-50 employees,1931,Private,Human Resources,Real Estate,$25 to $50 million,None
Project Manager,$129k-$178k,Oversee project lifecycle from initiation to closure.,4.1,Media Magic,"Seattle, WA","Seattle, WA",201-500 employees,2010,Non-profit Organization,Digital Media,Biotech & Pharmaceuticals,$25 to $50 million,None
Project Manager,$57k-$228k,Oversee project lifecycle from initiation to closure.,4.8,Market Movers,"Austin, TX","Austin, TX",201-500 employees,1984,Private,Consumer Products,"Arts, Entertainment & Recreation",$1 to $5 million,None
Human Resources Coordinator,$59k-$170k,"Manage recruitment, training, and employee relations.",1.0,Finance First,"Washington, DC","Seattle, WA",201-500 employees,1904,Public,Research & Development,Biotech & Pharmaceuticals,More than $50 million,None
Administrative Assistant,$108k-$159k,Provide administrative support to ensure efficient office operations.,3.7,Support Central,"Boston, MA","Washington, DC",51-200 employees,1954,Private,Human Resources,"Arts, Entertainment & Recreation",More than $50 million,None
Sales Manager,$84k-$168k,Lead sales teams to achieve targets through strategic planning.,1.3,Global Sales Group,"Boston, MA","Washington, DC",1001-5000 employees,2017,Government,Finance,Business Services,$10 to $25 million,None
Web Developer,$88k-$239k,Build and maintain websites to enhance user experience.,2.6,Data Wizards,"Atlanta, GA","Atlanta, GA",501-1000 employees,1956,Private,Management Consulting,Technology,$10 to $25 million,None
Web Developer,$91k-$227k,Build and maintain websites to enhance user experience.,2.0,Market Movers,"Austin, TX","Washington, DC",1001-5000 employees,1902,Government,Management Consulting,Technology,$1 to $5 million,None
Financial Analyst,$116k-$233k,Conduct financial analysis and report on budgeting.,2.8,Data Wizards,"Chicago, IL","Washington, DC",501-1000 employees,1981,Subsidiary or Business Segment,Marketing,Media,$5 to $10 million,None
Digital Media Manager,$92k-$191k,Manage online content and social media presence.,3.7,Office Organizers,"Chicago, IL","Los Angeles, CA",501-1000 employees,1988,Subsidiary or Business Segment,Research & Development,Real Estate,$25 to $50 million,None
Software Developer,$108k-$161k,Develop and maintain software applications based on client requirements.,2.3,Net Solutions,"San Francisco, CA","Denver, CO",1001-5000 employees,2005,Private,Logistics,Non-Profit,$10 to $25 million,None
Digital Media Manager,$56k-$174k,Manage online content and social media presence.,3.1,Plan Pros,"Seattle, WA","Seattle, WA",1-50 employees,1926,Government,Human Resources,Retail,$5 to $10 million,None
Financial Analyst,$139k-$212k,Conduct financial analysis and report on budgeting.,1.5,Supply Chain Co.,"Washington, DC","Austin, TX",51-200 employees,1939,Non-profit Organization,IT Services,Non-Profit,$10 to $25 million,None
Marketing Specialist,$78k-$164k,Create and execute marketing strategies to enhance brand awareness.,2.8,Market Movers,"Chicago, IL","Seattle, WA",201-500 employees,1965,Government,Digital Media,Media,$10 to $25 million,None
Graphic Designer,$108k-$220k,Design visual content for digital and print media.,1.6,Design Dreams,"Washington, DC","Atlanta, GA",51-200 employees,2010,Private,Research & Development,Real Estate,$5 to $10 million,None
Customer Support Representative,$150k-$214k,Handle customer inquiries and resolve issues promptly.,2.1,Tech Innovate,"Boston, MA","Boston, MA",1001-5000 employees,1974,Subsidiary or Business Segment,Administrative Services,Retail,$10 to $25 million,None
Human Resources Coordinator,$111k-$194k,"Manage recruitment, training, and employee relations.",2.3,Secure Systems,"Atlanta, GA","Denver, CO",501-1000 employees,2019,Government,Administrative Services,"Arts, Entertainment & Recreation",More than $50 million,None
Graphic Designer,$123k-$199k,Design visual content for digital and print media.,1.9,Secure Systems,"Denver, CO","New York, NY",201-500 employees,1995,Subsidiary or Business Segment,Software Development,Real Estate,$10 to $25 million,None
Supply Chain Analyst,$133k-$169k,Optimize supply chain processes to improve efficiency.,3.0,Tech Innovate,"Chicago, IL","Atlanta, GA",1001-5000 employees,1942,Private,Administrative Services,Media,Less than $1 million,None
Human Resources Coordinator,$108k-$151k,"Manage recruitment, training, and employee relations.",3.9,Media Magic,"Chicago, IL","San Francisco, CA",501-1000 employees,2000,Government,Networking & Security,Government,More than $50 million,None
Digital Media Manager,$133k-$160k,Manage online content and social media presence.,4.4,Office Organizers,"Atlanta, GA","Denver, CO",201-500 employees,1980,Subsidiary or Business Segment,Administrative Services,Non-Profit,Less than $1 million,None
Project Manager,$58k-$180k,Oversee project lifecycle from initiation to closure.,3.5,Support Central,"Boston, MA","Austin, TX",1-50 employees,1955,Private,Cybersecurity,Business Services,$10 to $25 million,None
Sales Manager,$138k-$188k,Lead sales teams to achieve targets through strategic planning.,4.6,Tech Innovate,"Los Angeles, CA","New York, NY",201-500 employees,1945,Government,Digital Media,Retail,$1 to $5 million,None
Human Resources Coordinator,$102k-$222k,"Manage recruitment, training, and employee relations.",3.7,Global Sales Group,"Chicago, IL","Chicago, IL",1-50 employees,1978,Subsidiary or Business Segment,Management Consulting,"Arts, Entertainment & Recreation",$10 to $25 million,None
Customer Support Representative,$124k-$168k,Handle customer inquiries and resolve issues promptly.,1.9,Supply Chain Co.,"Boston, MA","Seattle, WA",201-500 employees,1985,Private,Customer Service,Media,$5 to $10 million,None
Supply Chain Analyst,$119k-$170k,Optimize supply chain processes to improve efficiency.,1.3,Net Solutions,"Washington, DC","Boston, MA",501-1000 employees,1988,Government,Finance,Biotech & Pharmaceuticals,$1 to $5 million,None
Digital Media Manager,$111k-$163k,Manage online content and social media presence.,1.9,Plan Pros,"Los Angeles, CA","Washington, DC",201-500 employees,1989,Government,IT Services,Real Estate,$5 to $10 million,None
Software Developer,$122k-$237k,Develop and maintain software applications based on client requirements.,4.1,Tech Innovate,"Washington, DC","Seattle, WA",201-500 employees,1999,Public,Management Consulting,Insurance,$1 to $5 million,None
Supply Chain Analyst,$74k-$229k,Optimize supply chain processes to improve efficiency.,2.0,Secure Systems,"Chicago, IL","San Francisco, CA",1-50 employees,1939,Subsidiary or Business Segment,IT Services,Government,$5 to $10 million,None
Web Developer,$66k-$161k,Build and maintain websites to enhance user experience.,4.6,Net Solutions,"Denver, CO","Chicago, IL",51-200 employees,1916,Non-profit Organization,Customer Service,Insurance,$25 to $50 million,None
Human Resources Coordinator,$84k-$171k,"Manage recruitment, training, and employee relations.",2.0,Office Organizers,"Seattle, WA","Boston, MA",201-500 employees,2002,Private,Finance,Business Services,$1 to $5 million,None
Security Analyst,$78k-$236k,Protect systems against cyber threats and ensure data security.,3.9,Media Magic,"Atlanta, GA","Los Angeles, CA",1-50 employees,2001,Subsidiary or Business Segment,IT Services,Biotech & Pharmaceuticals,$25 to $50 million,None
Marketing Specialist,$108k-$197k,Create and execute marketing strategies to enhance brand awareness.,3.7,Supply Chain Co.,"Boston, MA","Washington, DC",501-1000 employees,2005,Government,Marketing,"Arts, Entertainment & Recreation",$10 to $25 million,None
Software Developer,$129k-$221k,Develop and maintain software applications based on client requirements.,2.3,Plan Pros,"Austin, TX","San Francisco, CA",501-1000 employees,2016,Government,Logistics,Real Estate,Less than $1 million,None
Sales Manager,$55k-$154k,Lead sales teams to achieve targets through strategic planning.,2.2,Finance First,"San Francisco, CA","San Francisco, CA",51-200 employees,2013,Non-profit Organization,Consumer Products,Real Estate,$10 to $25 million,None
Network Administrator,$135k-$245k,Maintain and troubleshoot company network issues.,3.8,People Partners,"Denver, CO","Washington, DC",51-200 employees,2013,Subsidiary or Business Segment,Logistics,Business Services,$10 to $25 million,None
Project Manager,$102k-$185k,Oversee project lifecycle from initiation to closure.,1.1,Net Solutions,"Austin, TX","Seattle, WA",501-1000 employees,1930,Government,Marketing,Insurance,$25 to $50 million,None
Customer Support Representative,$132k-$195k,Handle customer inquiries and resolve issues promptly.,1.2,Data Wizards,"Austin, TX","San Francisco, CA",501-1000 employees,1911,Public,Logistics,Government,Less than $1 million,None
Software Developer,$150k-$192k,Develop and maintain software applications based on client requirements.,2.0,Global Sales Group,"Washington, DC","Austin, TX",1-50 employees,2006,Non-profit Organization,Graphic Design,Government,$1 to $5 million,None
Administrative Assistant,$79k-$192k,Provide administrative support to ensure efficient office operations.,4.1,Secure Systems,"Washington, DC","New York, NY",201-500 employees,2009,Public,Consumer Products,Non-Profit,$5 to $10 million,None
Security Analyst,$72k-$164k,Protect systems against cyber threats and ensure data security.,3.6,Tech Innovate,"Chicago, IL","New York, NY",201-500 employees,2001,Public,Management Consulting,Insurance,Less than $1 million,None
Sales Manager,$83k-$156k,Lead sales teams to achieve targets through strategic planning.,1.5,Media Magic,"Atlanta, GA","San Francisco, CA",1-50 employees,1960,Subsidiary or Business Segment,Cybersecurity,Insurance,$25 to $50 million,None
Project Manager,$63k-$207k,Oversee project lifecycle from initiation to closure.,3.0,Plan Pros,"New York, NY","Atlanta, GA",201-500 employees,1958,Private,IT Services,Media,$10 to $25 million,None
Digital Media Manager,$137k-$163k,Manage online content and social media presence.,3.0,Support Central,"Seattle, WA","San Francisco, CA",1-50 employees,1941,Non-profit Organization,Consumer Products,Business Services,$1 to $5 million,None
Data Scientist,$129k-$231k,Analyze large datasets to uncover actionable insights.,3.3,Web Wonders,"Los Angeles, CA","Denver, CO",1001-5000 employees,1967,Government,Finance,Non-Profit,$25 to $50 million,None
Digital Media Manager,$62k-$239k,Manage online content and social media presence.,1.5,Supply Chain Co.,"Atlanta, GA","Austin, TX",501-1000 employees,1957,Public,Digital Media,Insurance,$10 to $25 million,None
Digital Media Manager,$103k-$243k,Manage online content and social media presence.,1.4,Media Magic,"Los Angeles, CA","Boston, MA",201-500 employees,1919,Subsidiary or Business Segment,Marketing,Business Services,Less than $1 million,None
Marketing Specialist,$105k-$162k,Create and execute marketing strategies to enhance brand awareness.,4.0,Net Solutions,"Chicago, IL","Atlanta, GA",1-50 employees,1975,Non-profit Organization,Human Resources,Insurance,More than $50 million,None
Marketing Specialist,$102k-$195k,Create and execute marketing strategies to enhance brand awareness.,4.5,Secure Systems,"Denver, CO","New York, NY",201-500 employees,1976,Government,Networking & Security,Business Services,$25 to $50 million,None
Human Resources Coordinator,$77k-$169k,"Manage recruitment, training, and employee relations.",3.6,Design Dreams,"San Francisco, CA","Los Angeles, CA",1001-5000 employees,1947,Private,Cybersecurity,Biotech & Pharmaceuticals,$25 to $50 million,None
Graphic Designer,$104k-$221k,Design visual content for digital and print media.,4.9,Office Organizers,"Washington, DC","Washington, DC",1001-5000 employees,1903,Non-profit Organization,Customer Service,Biotech & Pharmaceuticals,Less than $1 million,None
Sales Manager,$84k-$239k,Lead sales teams to achieve targets through strategic planning.,4.0,Support Central,"Los Angeles, CA","Los Angeles, CA",1-50 employees,1923,Public,Management Consulting,Real Estate,Less than $1 million,None
Sales Manager,$144k-$231k,Lead sales teams to achieve targets through strategic planning.,4.9,Market Movers,"Atlanta, GA","Austin, TX",501-1000 employees,1953,Subsidiary or Business Segment,Networking & Security,Retail,$5 to $10 million,None
Data Scientist,$142k-$191k,Analyze large datasets to uncover actionable insights.,4.1,Plan Pros,"Washington, DC","San Francisco, CA",1-50 employees,1919,Public,Cybersecurity,Government,Less than $1 million,None
